asset_id,role,silhouette,state_strategy,tintable,source_master,runtime_png,unity_guid,atlas,max_display_px,slice_lbrt,used_by,sha256,perceptual_hash,status
ui_resource_command,resource_icon,command_badge,live_value,yes,,Assets/Game/Art/UI/Resources/resource_command.png,df99813b2fdc44d7b9e259b1e5f18c97,UI_V3_CoreIcons_01,96,0/0/0/0,menu_and_progression,7e8664cd53c8c802b39875b7d23ac3f4b7b1e8ddb619267266736189b8b34147,pending,existing_canonical
ui_resource_materials,resource_icon,materials_stack,live_value,yes,,Assets/Game/Art/UI/Resources/resource_materials.png,14c986cfa88494fd69b141dab45ee020,UI_V3_CoreIcons_01,96,0/0/0/0,match_and_build,93a4f618da7f2af8244de248a00c36bc018b8bba3ba59f359f436ba60e3cb13d,pending,existing_canonical
ui_resource_oil,resource_icon,oil_drum,live_value,yes,,Assets/Game/Art/UI/Resources/resource_oil.png,3a761b990e09b43358bcbccfefda6a2f,UI_V3_CoreIcons_01,96,0/0/0/0,match_and_exchange,a08dd8a89f709d39bd30e9b8eaf33b315d6a85a010ee42c739384859b1ad108d,pending,existing_canonical
ui_resource_fuel,resource_icon,fuel_can,live_value,yes,,Assets/Game/Art/UI/Resources/resource_fuel.png,ddc22ad3231c14259aa9357db3749927,UI_V3_CoreIcons_01,96,0/0/0/0,match_and_exchange,9de0bc8b2bbe1acb0aa80b36bad1632bb569644160c091b2dda2895382464c47,pending,existing_canonical
ui_resource_rush,resource_icon,rush_ticket,live_value,yes,,Assets/Game/Art/UI/Resources/resource_rush.png,f940eb35890d54e7197d18fab25c2151,UI_V3_CoreIcons_01,96,0/0/0/0,exchange_and_acceleration,2248f1eb91b981662833b642e112b44a595160055ac7efed70202279b0c0b61d,pending,existing_canonical
scn01_loading_environment_v3,background_plate,full_screen_21x9,unique_static,no,Design/VisualLockLayered/SCN-01_SplashLoading/prompts/SCN-01_LoadingEnvironment_V3_BackgroundPlate.md,Assets/Game/Art/UI/V3Shared/Backgrounds/SCN01_LoadingEnvironment_V3.png,c701d8c9b11a143d9a5e69d66caa41c7,standalone,full_screen,0/0/0/0,scn01_splash_loading,8eb632e754954d127aa0e2a8e5f357af69d0f536a9d94f487d836c38487c8c67,pending,generated_imported_validated
scn02_commander_scene_field_commander_01,commander_scene,full_screen_16x9,commander_id_variant,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenuEnvironment_V3_BackgroundPlate.md,Assets/Game/Art/UI/V3Shared/CommanderScenes/SCN02_FieldCommander_01_Scene_V3.png,f44f03a78913545ebaad7b11a20fbf64,standalone,full_screen,0/0/0/0,scn02_main_menu,d0a258bdd0813cb4c91e177cc33baf6d8267716095426a1df4707aad8304e8b4,pending,generated_imported_validated
scn02_main_menu_environment_no_commander_v3,background_plate,full_screen_16x9,superseded_provenance,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenuEnvironment_NoCommander_V3.md,Design/VisualLockLayered/SCN-02_MainMenuV3/provenance/split_experiment/SCN02_MainMenuEnvironment_NoCommander_V3.png,b98f29723f37f470cbf5d5c83a53a3a1,provenance_only,full_screen,0/0/0/0,provenance_only,46615cce5c57fc346e5b4125f6b9ca7e80edc563239c6d7be881faf9a12e276e,pending,superseded_not_referenced
scn02_commander_field_commander_01_cutout,commander_character,leaning_over_table,superseded_provenance,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_Commander_FieldCommander_01.md,Design/VisualLockLayered/SCN-02_MainMenuV3/provenance/split_experiment/Commander_FieldCommander_01.png,e7a53b6603e92427a8b5667189e8d236,provenance_only,620,0/0/0/0,provenance_only,c8caa82c6577f63ca2c8a4fc049d4d1142cb86bb08719a530e5d34132080c284,pending,superseded_not_referenced
scn02_aria_main_menu_v3,assistant_portrait,polygonal_bust,assistant_id_variant,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_ARIA_MainMenu_V3.md,Assets/Game/Art/UI/V3Shared/Portraits/ARIA_MainMenu_V3.png,bcfdb10cea8d54e80ac0f6455eeb0d97,UI_V3_Assistants_01,384,0/0/0/0,scn02_main_menu,30cb45e4291f57d65222e37ee84ce6b303c16b94fcfc8aea179c606e0089c115,pending,generated_alpha_clean_imported_validated
scn02_campaign_scene_v3,mode_card_scene,civilian_escort,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_ModeScenePlates_V3.md,Assets/Game/Art/UI/V3Shared/MainMenuPlates/SCN02_CampaignScene_V3.png,3d2955f8a9c4841299c112ebdbe2e4e3,UI_V3_MainMenuScenes_01,800,0/0/0/0,scn02_main_menu_campaign,07a3e0373ecec669f9503ccf7007436c0ca677d7b7bec3e38b06669d2c20d583,pending,generated_imported_validated
scn02_operations_scene_v3,mode_card_scene,convoy_route,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_ModeScenePlates_V3.md,Assets/Game/Art/UI/V3Shared/MainMenuPlates/SCN02_OperationsScene_V3.png,cda6c5d89528744bdaff4f0b569b57bb,UI_V3_MainMenuScenes_01,800,0/0/0/0,scn02_main_menu_operations,5f737000dadebcccd83fa4e009d54179186cadf967982ca8ee6cc2405058b2b1,pending,generated_imported_validated
scn02_skirmish_scene_v3,mode_card_scene,armored_engagement,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_ModeScenePlates_V3.md,Assets/Game/Art/UI/V3Shared/MainMenuPlates/SCN02_SkirmishScene_V3.png,e9f23308beeb6422aa5e2dea31b43eb3,UI_V3_MainMenuScenes_01,800,0/0/0/0,scn02_main_menu_skirmish,700f96021521c1cc09bb4af75999c1aee0b48db439c0b59f802dcd58d8f6b6e9,pending,generated_imported_validated
scn02_icon_campaign_target_v3,mode_icon,target_reticle,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_Icons_V3.md,Assets/Game/Art/UI/V3Shared/Sprites/MainMenuIcons/SCN02_Icon_CampaignTarget_V3.png,337281f6055394bca82dc28cb751ee83,UI_V3_MainMenuIcons_01,96,0/0/0/0,scn02_main_menu_campaign,fbacdac8fad98fcceb0811368d4f592bbda66e82565bd61aed32b9f7b272bd7f,pending,generated_alpha_clean_imported_validated
scn02_icon_operations_compass_v3,mode_icon,compass_rose,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_Icons_V3.md,Assets/Game/Art/UI/V3Shared/Sprites/MainMenuIcons/SCN02_Icon_OperationsCompass_V3.png,95eb9bf2d32df452ca513bd55d247f17,UI_V3_MainMenuIcons_01,96,0/0/0/0,scn02_main_menu_operations,6f0d9b66948341b83863d41920064a6e22187d1313613058c189d1e3fe8804a6,pending,generated_alpha_clean_imported_validated
scn02_icon_skirmish_blades_v3,mode_icon,crossed_blades,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_Icons_V3.md,Assets/Game/Art/UI/V3Shared/Sprites/MainMenuIcons/SCN02_Icon_SkirmishBlades_V3.png,56625971ed6fe4775b87508e43c6819e,UI_V3_MainMenuIcons_01,96,0/0/0/0,scn02_main_menu_skirmish,d73739f7dcac803404870f469065b434634161088c6e2cb0f79e85e78437ae28,pending,generated_alpha_clean_imported_validated
scn02_icon_store_cart_v3,footer_icon,shopping_cart,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_Icons_V3.md,Assets/Game/Art/UI/V3Shared/Sprites/MainMenuIcons/SCN02_Icon_StoreCart_V3.png,7abb2c7a8f7694c89bd485cca910d942,UI_V3_MainMenuIcons_01,128,0/0/0/0,scn02_main_menu_store,789a51319b8ffb7bde87633a6b7ea0b9a7385227847f4dd8bdaa64982faa98f7,pending,generated_alpha_clean_imported_validated
scn02_icon_armory_crate_v3,footer_icon,military_crate,unique_static,no,Design/VisualLockLayered/SCN-02_MainMenuV3/prompts/SCN-02_MainMenu_Icons_V3.md,Assets/Game/Art/UI/V3Shared/Sprites/MainMenuIcons/SCN02_Icon_ArmoryCrate_V3.png,3b10bc53d7ebb4ce6b45f3804aa6cff0,UI_V3_MainMenuIcons_01,160,0/0/0/0,scn02_main_menu_armory,ccfc9c969f9570da392099f625b878f62819423ebeaca94f3995d23743c46014,pending,generated_alpha_clean_imported_validated
