Vehicle=Entity(783:5) cameraHeight=55 selected=True position=float3(1062.941f, 0.4491798f, 432.3853f) rotation=quaternion(0f, 0f, 0f, 1f)
Entity(783:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(1062.941f, 0.4491798f, 432.3853f) render=False disabled=False hidden=False
Entity(784:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(783:5) render=True disabled=False hidden=False bounds=float3(1062.951f, 2.462188f, 429.228f) extents=float3(64f, 64f, 64f)
Entity(785:5) name= world=float3(1062.593f, 4.206459f, 422.2487f) distance=10.81611 local=float3(-0.3479154f, 3.757279f, -10.13657f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.597f, 4.206459f, 422.2487f) extents=float3(64f, 64f, 64f)
Entity(791:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.941f, 2.259174f, 434.9951f) extents=float3(64f, 64f, 64f)
Entity(954:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.354f, 1.210147f, 435.6665f) distance=3.418963 local=float3(-0.5865617f, 0.7609674f, 3.281183f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.354f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(958:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.941f, 2.112517f, 433.0209f) extents=float3(64f, 64f, 64f)
Entity(946:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1061.77f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(956:7) name=UnitSelectionVehicleObjectOutline world=float3(1063.527f, 1.210147f, 435.6665f) distance=3.418963 local=float3(0.5865617f, 0.7609674f, 3.281183f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1063.527f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(944:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.941f, 2.259174f, 434.9951f) extents=float3(64f, 64f, 64f)
Entity(950:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1064.112f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(824:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(783:5) render=False disabled=False hidden=True
Entity(834:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 2.259174f, 434.9951f) extents=float3(64f, 64f, 64f)
Entity(833:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1064.164f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(831:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1061.718f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(837:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 2.112517f, 433.0209f) extents=float3(64f, 64f, 64f)
Entity(836:5) name= world=float3(1063.527f, 1.210147f, 435.6665f) distance=3.418963 local=float3(0.5865617f, 0.7609674f, 3.281183f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1063.527f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(835:5) name= world=float3(1062.354f, 1.210147f, 435.6665f) distance=3.418963 local=float3(-0.5865617f, 0.7609674f, 3.281183f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.354f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(832:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1064.112f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(829:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1061.77f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(828:5) name= world=float3(1062.941f, 3.550853f, 432.3853f) distance=3.101674 local=float3(-1.705303E-15f, 3.101674f, 6.296877E-09f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 3.765277f, 432.3853f) extents=float3(64f, 64f, 64f)
Entity(827:5) name= world=float3(1062.593f, 4.206459f, 422.2487f) distance=10.81611 local=float3(-0.3479154f, 3.757279f, -10.13657f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.597f, 4.206459f, 422.2487f) extents=float3(64f, 64f, 64f)
Entity(826:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(824:5) render=True disabled=False hidden=True bounds=float3(1062.951f, 2.462188f, 429.228f) extents=float3(64f, 64f, 64f)
Entity(856:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(783:5) render=False disabled=False hidden=True
Entity(864:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 2.259174f, 434.9951f) extents=float3(64f, 64f, 64f)
Entity(863:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1064.164f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(867:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 2.112517f, 433.0209f) extents=float3(64f, 64f, 64f)
Entity(866:5) name= world=float3(1063.527f, 1.210147f, 435.6665f) distance=3.418963 local=float3(0.5865617f, 0.7609674f, 3.281183f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1063.527f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(865:5) name= world=float3(1062.354f, 1.210147f, 435.6665f) distance=3.418963 local=float3(-0.5865617f, 0.7609674f, 3.281183f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.354f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(862:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1064.112f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(860:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1061.77f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(859:5) name= world=float3(1062.941f, 3.550853f, 432.3853f) distance=3.101674 local=float3(-1.705303E-15f, 3.101674f, 6.296877E-09f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.941f, 3.765277f, 432.3853f) extents=float3(64f, 64f, 64f)
Entity(858:5) name= world=float3(1062.593f, 4.206459f, 422.2487f) distance=10.81611 local=float3(-0.3479154f, 3.757279f, -10.13657f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.597f, 4.206459f, 422.2487f) extents=float3(64f, 64f, 64f)
Entity(861:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1061.718f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(857:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(856:5) render=True disabled=False hidden=True bounds=float3(1062.951f, 2.462188f, 429.228f) extents=float3(64f, 64f, 64f)
Entity(908:11) name=UnitSelectionMarker world=float3(1062.941f, 0.5691798f, 432.3853f) distance=0.12 local=float3(0f, 0.12f, 0f) parent=Entity(783:5) render=False disabled=False hidden=False
Entity(935:7) name= world=float3(1062.941f, 0.6891798f, 432.3853f) distance=0.24 local=float3(0f, 0.12f, 0f) parent=Entity(908:11) render=False disabled=False hidden=False
Entity(939:5) name= world=float3(1062.941f, 0.6891798f, 432.3853f) distance=0.24 local=float3(0f, 0.04f, 0f) parent=Entity(935:7) render=True disabled=False hidden=True bounds=float3(1062.941f, 0.6891798f, 432.3853f) extents=float3(0f, 0f, 0f)
Entity(940:5) name= world=float3(1062.941f, 0.6891798f, 432.3853f) distance=0.24 local=float3(0f, 0.075f, 0f) parent=Entity(935:7) render=True disabled=False hidden=True bounds=float3(1062.941f, 0.6891798f, 432.3853f) extents=float3(0f, 0f, 0f)
Entity(938:5) name= world=float3(1062.941f, 0.6891798f, 432.3853f) distance=0.24 local=float3(0f, 0.02f, 0f) parent=Entity(935:7) render=True disabled=False hidden=True bounds=float3(1062.941f, 0.6891798f, 432.3853f) extents=float3(0f, 0f, 0f)
Entity(941:5) name= world=float3(1062.941f, 0.6891798f, 432.3853f) distance=0.24 local=float3(0f, 0.01f, 0f) parent=Entity(935:7) render=True disabled=False hidden=True bounds=float3(1062.941f, 0.6891798f, 432.3853f) extents=float3(0f, 0f, 0f)
Entity(937:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(783:5) render=True disabled=False hidden=False bounds=float3(1062.951f, 2.462188f, 429.228f) extents=float3(64f, 64f, 64f)
