catalog_id,handoff_ordinal,remaining_after_three,legacy_runtime_index,map_id,operation_map_id,objective_id,army_profile,start_profile,definition_id,scenario_setup_id,layout_id,packet,objective_system,required_tickets,required_capabilities,asset_folder,first_visit_size,recommended_size,default_difficulty,regular_seeds,recruit_standard_en_seed,veteran_standard_en_seed,commander_standard_en_seed,war_regular_en_fa_seed,large_war_regular_en_fa_seed,implementation_status,manual_win,aria_win,checkpoint,device,evidence_path
S022,24,yes,,DB,opmap.skirmish.desert_base_01,CE,A,E,skirmish.s022,scenario.skirmish.s022,layout.skirmish.db.ce,Scenarios/DB_CE.md#s022,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S022,Standard,War,Regular,104751;130385;155943,196635,262169,327695,393263,458901,Planned,Pending,Pending,Pending,Pending,
S023,25,yes,,DB,opmap.skirmish.desert_base_01,CE,C,F,skirmish.s023,scenario.skirmish.s023,layout.skirmish.db.ce,Scenarios/DB_CE.md#s023,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S023,Standard,War,Regular,104752;130386;155944,196636,262170,327696,393264,458902,Planned,Pending,Pending,Pending,Pending,
S024,26,yes,,DB,opmap.skirmish.desert_base_01,CE,C,E,skirmish.s024,scenario.skirmish.s024,layout.skirmish.db.ce,Scenarios/DB_CE.md#s024,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S024,Standard,War,Regular,104753;130387;155945,196637,262171,327697,393265,458903,Planned,Pending,Pending,Pending,Pending,
S025,2,no,1,CC,opmap.skirmish.city_crossroads,BA,G,F,skirmish.s025,scenario.skirmish.s025,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s025,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S025,Standard,Standard,Regular,104754;130388;155946,196638,262172,327698,393266,458904,Planned,Pending,Pending,Pending,Pending,
S026,27,yes,,CC,opmap.skirmish.city_crossroads,BA,G,E,skirmish.s026,scenario.skirmish.s026,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s026,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S026,Standard,Standard,Regular,104755;130389;155947,196639,262173,327699,393267,458905,Planned,Pending,Pending,Pending,Pending,
S027,28,yes,,CC,opmap.skirmish.city_crossroads,BA,A,F,skirmish.s027,scenario.skirmish.s027,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s027,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S027,Standard,War,Regular,104756;130390;155948,196640,262174,327700,393268,458906,Planned,Pending,Pending,Pending,Pending,
S028,29,yes,,CC,opmap.skirmish.city_crossroads,BA,A,E,skirmish.s028,scenario.skirmish.s028,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s028,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S028,Standard,War,Regular,104757;130391;155949,196641,262175,327701,393269,458907,Planned,Pending,Pending,Pending,Pending,
S029,30,yes,,CC,opmap.skirmish.city_crossroads,BA,C,F,skirmish.s029,scenario.skirmish.s029,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s029,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S029,Standard,War,Regular,104758;130392;155950,196642,262176,327702,393270,458908,Planned,Pending,Pending,Pending,Pending,
S030,31,yes,,CC,opmap.skirmish.city_crossroads,BA,C,E,skirmish.s030,scenario.skirmish.s030,layout.skirmish.cc.ba,Scenarios/CC_BA.md#s030,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S030,Standard,War,Regular,104759;130393;155951,196643,262177,327703,393271,458909,Planned,Pending,Pending,Pending,Pending,
S031,32,yes,,CC,opmap.skirmish.city_crossroads,FC,G,F,skirmish.s031,scenario.skirmish.s031,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s031,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S031,Standard,War,Regular,104760;130394;155952,196644,262178,327704,393272,458910,Planned,Pending,Pending,Pending,Pending,
S032,33,yes,,CC,opmap.skirmish.city_crossroads,FC,G,E,skirmish.s032,scenario.skirmish.s032,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s032,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S032,Standard,War,Regular,104761;130395;155953,196645,262179,327705,393273,458911,Planned,Pending,Pending,Pending,Pending,
S033,34,yes,,CC,opmap.skirmish.city_crossroads,FC,A,F,skirmish.s033,scenario.skirmish.s033,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s033,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S033,Standard,War,Regular,104762;130396;155954,196646,262180,327706,393274,458912,Planned,Pending,Pending,Pending,Pending,
S034,35,yes,,CC,opmap.skirmish.city_crossroads,FC,A,E,skirmish.s034,scenario.skirmish.s034,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s034,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S034,Standard,War,Regular,104763;130397;155955,196647,262181,327707,393275,458913,Planned,Pending,Pending,Pending,Pending,
S035,36,yes,,CC,opmap.skirmish.city_crossroads,FC,C,F,skirmish.s035,scenario.skirmish.s035,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s035,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S035,Standard,War,Regular,104764;130398;155956,196648,262182,327708,393276,458914,Planned,Pending,Pending,Pending,Pending,
S036,37,yes,,CC,opmap.skirmish.city_crossroads,FC,C,E,skirmish.s036,scenario.skirmish.s036,layout.skirmish.cc.fc,Scenarios/CC_FC.md#s036,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S036,Standard,War,Regular,104765;130399;155957,196649,262183,327709,393277,458915,Planned,Pending,Pending,Pending,Pending,
S037,38,yes,,CC,opmap.skirmish.city_crossroads,BT,G,F,skirmish.s037,scenario.skirmish.s037,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s037,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S037,Standard,War,Regular,104766;130400;155958,196650,262184,327710,393278,458916,Planned,Pending,Pending,Pending,Pending,
S038,39,yes,,CC,opmap.skirmish.city_crossroads,BT,G,E,skirmish.s038,scenario.skirmish.s038,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s038,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S038,Standard,War,Regular,104767;130401;155959,196651,262185,327711,393279,458917,Planned,Pending,Pending,Pending,Pending,
S039,40,yes,,CC,opmap.skirmish.city_crossroads,BT,A,F,skirmish.s039,scenario.skirmish.s039,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s039,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S039,Standard,War,Regular,104768;130402;155960,196652,262186,327712,393280,458918,Planned,Pending,Pending,Pending,Pending,
S040,41,yes,,CC,opmap.skirmish.city_crossroads,BT,A,E,skirmish.s040,scenario.skirmish.s040,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s040,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S040,Standard,War,Regular,104769;130403;155961,196653,262187,327713,393281,458919,Planned,Pending,Pending,Pending,Pending,
S041,42,yes,,CC,opmap.skirmish.city_crossroads,BT,C,F,skirmish.s041,scenario.skirmish.s041,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s041,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S041,Standard,War,Regular,104770;130404;155962,196654,262188,327714,393282,458920,Planned,Pending,Pending,Pending,Pending,
S042,43,yes,,CC,opmap.skirmish.city_crossroads,BT,C,E,skirmish.s042,scenario.skirmish.s042,layout.skirmish.cc.bt,Scenarios/CC_BT.md#s042,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S042,Standard,War,Regular,104771;130405;155963,196655,262189,327715,393283,458921,Planned,Pending,Pending,Pending,Pending,
S043,44,yes,,CC,opmap.skirmish.city_crossroads,CE,G,F,skirmish.s043,scenario.skirmish.s043,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s043,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S043,Standard,War,Regular,104772;130406;155964,196656,262190,327716,393284,458922,Planned,Pending,Pending,Pending,Pending,
S044,45,yes,,CC,opmap.skirmish.city_crossroads,CE,G,E,skirmish.s044,scenario.skirmish.s044,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s044,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S044,Standard,War,Regular,104773;130407;155965,196657,262191,327717,393285,458923,Planned,Pending,Pending,Pending,Pending,
S045,46,yes,,CC,opmap.skirmish.city_crossroads,CE,A,F,skirmish.s045,scenario.skirmish.s045,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s045,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S045,Standard,War,Regular,104774;130408;155966,196658,262192,327718,393286,458924,Planned,Pending,Pending,Pending,Pending,
S046,47,yes,,CC,opmap.skirmish.city_crossroads,CE,A,E,skirmish.s046,scenario.skirmish.s046,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s046,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S046,Standard,War,Regular,104775;130409;155967,196659,262193,327719,393287,458925,Planned,Pending,Pending,Pending,Pending,
S047,48,yes,,CC,opmap.skirmish.city_crossroads,CE,C,F,skirmish.s047,scenario.skirmish.s047,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s047,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S047,Standard,War,Regular,104776;130410;155968,196660,262194,327720,393288,458926,Planned,Pending,Pending,Pending,Pending,
S048,49,yes,,CC,opmap.skirmish.city_crossroads,CE,C,E,skirmish.s048,scenario.skirmish.s048,layout.skirmish.cc.ce,Scenarios/CC_CE.md#s048,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S048,Standard,War,Regular,104777;130411;155969,196661,262195,327721,393289,458927,Planned,Pending,Pending,Pending,Pending,
S049,50,yes,,MP,opmap.skirmish.mountain_pass,BA,G,F,skirmish.s049,scenario.skirmish.s049,layout.skirmish.mp.ba,Scenarios/MP_BA.md#s049,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S049,Standard,Standard,Regular,104778;130412;155970,196662,262196,327722,393290,458928,Planned,Pending,Pending,Pending,Pending,
