asset_kind,source_config,observed_display_name,source_sha256,proposed_role,proposed_disposition,evidence,runtime_certification,planned_use_contexts
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Female_02_Config.asset,Insurgent Sidearm Fighter Female II,e60d34e13f14ab7fe300cbc303f47955f6761cba17fac42f2a510709c8906e1e,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Male_01_Config.asset,Insurgent Rocketeer Male I,9c57103d92aa2182cd46b974ce6beae8e57516d2f91a7f0cf316569e9a2adb9d,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Male_02_Config.asset,Insurgent Gunner Male II,8919aa4a76cd337be96fc9557574ba88fef4fb9eaefe25e6c15c2e24d7633501,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Male_03_Config.asset,Insurgent Raider Male III,860047608f7f88a106182e01dc434ab38ae39c9b51cf27aa569ad884d50800f9,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Male_04_Config.asset,Insurgent Sniper Male IV,5b6344d3d033800c36a85446c52c309e8bc80d1ebe4cd44fd4fd80ef5ffe4a5a,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Male_05_Config.asset,Insurgent Rifleman Male V,a236367075f494d242a7aa3a10c57dc9928bb67228a7e53bcd9f32cb6e79f4a1,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Leader_Male_01_Config.asset,Field Commander,d9166e08e05dd6752c745e88a5a224896b7f7ca9c2e86aa785c7308772c751e7,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Pilot_Female_01_Config.asset,Pilot Female I,393cb681d67ec271d8df5838a223e3069c08cc69cb044319424ba9ad416ed583,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Pilot_Male_01_Config.asset,Pilot Male I,6127f53d19ca8347cf470697d10faee51794373f87f5d59ae279ed1d91a3d10f,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_01_Alt_01_Config.asset,Rifleman Female I,532f2e9b7ea1266f6517fc82389ef18396754b69d0f59d8615b980a19a1fac3b,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_01_Alt_02_Config.asset,Marksman Female II,9b2edc0b50c0cf124a1174908ee08087388ae450c0bba9ca0d1439de6e38a5d2,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_01_Config.asset,Marksman Female I,9ea558912e875f4da5c8e55dde2276058d2c60a8d0db199596a48d9124d994fd,role.marksman,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_02_Alt_01_Config.asset,Rifleman Female I,b4704eae87de2291ac9547b444be32718cfe33c7d27175330051676809073731,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_02_Alt_02_Config.asset,Assault Breacher Female II,7f9e1d361c046c8ee4eb62a9f6745dfcdbae394266015fdbfa787a4610f2b9ca,role.breacher,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Female_02_Config.asset,Rifleman Female II,ef63cee66daab3839511ff37bd4bab04877f7736538fb7ce164a01be1612331a,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_01_Alt_01_Config.asset,Marksman Male I,ce32a70e405157e98efc870dd74154e74be572600d88772ca67f19988c204a94,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_01_Alt_02_Config.asset,Advanced Rifleman Male II,4ce39e08929c7bcbf4c7f341fa35efa8377fffe8fee79f4f4fe4d377428f3980,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_01_Config.asset,Heavy Gunner Male I,4c9d1a9e2637fdfd141a95ed501f6b61bdd09c81315555de1de99506f561c39d,role.gunner,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_02_Alt_01_Config.asset,Sidearm Specialist Male I,6725c28cb340b3d1e2b3e08a4848a00c9648090094eb9eab941a99451e2ef74b,,Scenario/Sandbox candidate; distinct sidearm/special role not in core five-role scope,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_02_Alt_02_Config.asset,Rifleman Male II,7e7b41d13a67f29e8cb0f5b38f922af3c14d600e83866da343bd75568b020d9d,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_02_Alt_03_Config.asset,Sidearm Specialist Male III,7356f198da8112de683b58a6cbc16aebc468351de288f0e3784847b82a47bec8,,Scenario/Sandbox candidate; distinct sidearm/special role not in core five-role scope,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_02_Alt_04_Config.asset,Rifleman Male IV,34681b1a3417aacc35b6292b3880e440a0552a6da1d57d6d57a7a93d8a4e6e83,role.rifle,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Soldier_Male_02_Config.asset,Rifleman Male II,cb1af97feed56e53363bd2a3bca0b91ef998c06ba15c46fe72c0c79b5d31318a,,Role appearance variant; preserve role equivalence and shared cap,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_APC_Fast_Config.asset,Fast APC,293cb9cb5187a379aa118fdfadf56eb9b6e20f701d0f8f3c101691de68f6df83,role.apc_fast,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_APC_Heavy_Config.asset,Heavy APC,8e7bbdd53f4bfa9e0dd9c0b84972a937b9c7dbdfb731995815f3a64bee080ab6,role.apc_heavy,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_APC_Slow_Config.asset,Armored APC,17bdabfe8db4f3a5423204dfde7469d8c277d822e520a93557a5e57bc691ec8a,role.apc_armored,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Drone_Config.asset,Recon Drone,15d7f0c66451a57acf30dfd80ec90bebc56115f8b288ca932844704e29e2dc0a,role.drone,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Helicopter_Attack_Config.asset,Attack Helicopter,eb8f3f901e5826edbffaf9557475c4bf6f1e9f8f2d1e6e2de25dd41414c26db0,role.attack_heli,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Helicopter_Attack_Small_Config.asset,Light Attack Helicopter,35f69a202a87410cb821ca2997dfdcd68d852a7e16711d0e9446c9b981f4196b,role.attack_heli_light,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Helicopter_Transport_Config.asset,Transport Helicopter,a522b765a869d99411b4dc3dbd8ada37a543850aa9a4cb2eed8da8ee9502c2c3,role.transport_heli,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Jet_01_Config.asset,Strike Jet,f24af72f3f9e7b241e5d6a703197998fb683d7f3b8fe1308973f15563e16bc8c,role.strike,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Jet_02_Config.asset,Fighter Jet,2cf40c3ac5984bab29f88f524025edc164dc109c02aee915a08ac0aa27c81cd6,role.fighter,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Light_Armored_Car_Config.asset,Light Armored Car,d46586f83de40492076d7fdee517edbfb696088a5acaac62b64c49659a0ea636,role.car,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Missle_Launcher_Air_Config.asset,Air Missile Launcher,17dc7ab364d681872dd052f89dc74e3c0f24b8b5b637f19fb994c207a91c348e,role.aa,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Missle_Launcher_Ground_Config.asset,Ground Missile Launcher,1e2932e6fc115c9634a77309020d2dfde730f76bfc9cd5bd749c698e42a20ddd,role.siege,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Plane_Transport_Config.asset,Transport Plane,0e550cb8260726975b6aa7043cb57d505094a499c67cad60713fcfe353a73d3a,role.transport_plane,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Radar_Tank.asset,Radar Tank,c32252d2dc2a5a510545781be756f584e9e0c275d12c5d4c8761216f2b77b2f2,role.radar,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Tank_USA_Config.asset,Battle Tank,9dc6cfbcd4a32ebbe6b26d634ec949e3ab51d90112538dd971f47f1ac5313942,role.tank,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Truck_Canopy.asset,Canopy Truck,32cbfc01ba911535ac7890a2892bd205a41749dc872d21842dea6e6cdeeaa9a1,,Transport/logistics variant after seat/role/cap accounting certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Truck_Tanker.asset,Tanker Truck,b985152245f6eeacb70e07812ae44fe419e7ac1264f0ff962da6a3af5c42a93d,role.tanker,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Veh_Truck_Tray.asset,Cargo Truck,b1929a11b54282519c105a02bc51dc1a390ee1c64103ad7253bc06c3ab5b16c7,role.logistics_truck;role.convoy_objective,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S023 CE DB Combined; S095 CE IB Combined
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Airport_Config.asset,Airport,5d300773279e675a8a01fef21854ecc1b2f8708756ba2577395afb4f6941e333,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Ammunition_Depot_Config.asset,Field Fabrication Depot,a2f735866085e00eb25395d329657d8b44b871516eeb6b94c55f5f980f4d69ac,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Building_Barrack_Config.asset,Barracks,695a40468c66e74fdec9b1de4eaeda1acc38c2340ac3ead8bf643c5e8ec0e036,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Building_Satelite_Dish_Config.asset,Satellite Dish,8489bff4eba03347b2ca444442a665b40b03da5659333ece7c8e656acb01871c,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Fuel_Bladder_Config.asset,Fuel Bladder,060dc80659bceb46c7688bdbf50b561802429dd71eedf39753308fd9fb8b298c,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_GuardTower_Big_Config.asset,Heavy Guard Tower,49fc0ad9511e58b1c46cbab5623475f7301dd2965bb935aea958b43d2ff1368b,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_GuardTower_Config.asset,Guard Tower,0d998e6d33f2c59108dae0be496e9680757eeecad71c81de15166428217cb46e,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Hall_Config.asset,City Hall,c40cade46387460391dfff2b3b7ad926134b3df3d7dba1db834b7dcdc2f85cab,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Helipad_Config.asset,Helipad,3689f7caf4b8c7bdaa18ed44b272d6663d3056a31ca205aedc124c4f085eea52,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_House_Config.asset,House,67c1a74ea85d37a558769da3ec5c743f38eb89bfc1aa812b28289f6065dfdc38,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_OilPump_Config.asset,Oil Pump,79e1d50fc14d971b0dff735bcb5917a42c0361cedf80d6970bda1033a5e953c0,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_OilRefinery_Big_Config.asset,Large Oil Refinery,eebcb222485023ec94d8ce81582de603617f14fc1cc4eb3195e5afdf0225b3d7,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_OilRefinery_Config.asset,Oil Refinery,3cfd46b274959c3b86f6f54f0fbfb23f5e5bae5036c0826180e6fd96fdf59ae1,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Portaloo__Config.asset,Portable Toilet,37fd4ffe833eec703db9ad048b8e8f4eab0ae75be48c9bee88b24dba0539a1f9,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Road_Barrier_Config.asset,Road Barrier,25ebdf2208966f64331b7f72c1d20f650ebe125087ea2159817c626f65ccca5b,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Shop_Config.asset,Shop,1c4c7544977915d0a8d1091dfdaea81d4482acd28d879a99c8bbf0abb7686f1d,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Tent_Contractor_Config.asset,Contractor Tent,1c6e8b997ab8aaa7a35853d546647517a6f005c08af0f20e588c3f8f9a58cf76,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Tent_Expert_Config.asset,Expert Tent,c067e4544aaf0953fefa3f3f9ab7421615a3f65278347def915f87f3d8303b36,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Tent_Refugee_Config.asset,Refugee Tent,e8913db311d8845a1deb6bf383de3fffc5b2cc0826b3c59bead1a84b57ac40f6,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Tent_Regular_Config.asset,Soldier Tent,18fca003cb7eabddcfb29f7ae591c3c0a615a3e615d3073adb00bc1149712ee7,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Wall_Dirt_Straight_Config.asset,Dirt Wall,ea7e88ba7198a136089b343a136641b3e265ed2183a9e725879f091c50c851d4,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_Wall_Fence_Straight_Config.asset,Fence Wall,dda93a297289ca648ef98d46ae28970c1aebfa639167d4b1f7fe0be5ce7ce740,,Supported facility or defensive variant,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Building,Assets/Game/Configs/Prefabs/Prefab_BuildingDefinition_WaterTank_Config.asset,Water Tank,68474192662594f848bc2ae032c7a75cba9ca26710f28126c659575241ba3cb0,,Scenario/Sandbox or visual source only,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
