id,category,display_name,requirement,source,required_for,planned_path,current_status,approval_status,completion_status,notes
"ability.harbor_patrol","combat.supportAbility","Harbor Patrol","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.harbor_patrol_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.harbor_patrol","combat.supportAbility","Harbor Patrol","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.harbor_patrol_VFX.asset","missing","not_reviewed","not_started","vfx.ability.harbor_patrol"
"ability.harbor_scan","combat.supportAbility","Harbor Scan","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.harbor_scan_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.harbor_scan","combat.supportAbility","Harbor Scan","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.harbor_scan_VFX.asset","missing","not_reviewed","not_started","vfx.ability.harbor_scan"
"ability.naval_fire_support","combat.supportAbility","Naval Fire Support","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.naval_fire_support_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.naval_fire_support","combat.supportAbility","Naval Fire Support","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.naval_fire_support_VFX.asset","missing","not_reviewed","not_started","vfx.ability.naval_fire_support"
"ability.operation_supply_route","combat.operationAbility","Supply Route","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.operation_supply_route_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.operation_supply_route","combat.operationAbility","Supply Route","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.operation_supply_route_VFX.asset","missing","not_reviewed","not_started","vfx.ability.operation_supply_route"
"ability.precision_strike","combat.supportAbility","Precision Strike","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.precision_strike_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.precision_strike","combat.supportAbility","Precision Strike","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.precision_strike_VFX.asset","missing","not_reviewed","not_started","vfx.ability.precision_strike"
"ability.produce_unit","combat.buildingAbility","Produce Unit","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.produce_unit_Icon.png","missing","not_reviewed","not_started","implementedRuntimeReference"
"ability.produce_unit","combat.buildingAbility","Produce Unit","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.produce_unit_VFX.asset","missing","not_reviewed","not_started","vfx.ability.produce_unit"
"ability.radar_ping","combat.supportAbility","Radar Ping","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.radar_ping_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.radar_ping","combat.supportAbility","Radar Ping","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.radar_ping_VFX.asset","missing","not_reviewed","not_started","vfx.ability.radar_ping"
"ability.rally_order","combat.supportAbility","Rally Order","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.rally_order_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.rally_order","combat.supportAbility","Rally Order","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.rally_order_VFX.asset","missing","not_reviewed","not_started","vfx.ability.rally_order"
"ability.readiness_boost","combat.operationAbility","Readiness Boost","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.readiness_boost_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.readiness_boost","combat.operationAbility","Readiness Boost","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.readiness_boost_VFX.asset","missing","not_reviewed","not_started","vfx.ability.readiness_boost"
"ability.repair_convoy","combat.operationAbility","Repair Convoy","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.repair_convoy_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.repair_convoy","combat.operationAbility","Repair Convoy","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.repair_convoy_VFX.asset","missing","not_reviewed","not_started","vfx.ability.repair_convoy"
"ability.smoke_screen","combat.supportAbility","Smoke Screen","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.smoke_screen_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.smoke_screen","combat.supportAbility","Smoke Screen","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.smoke_screen_VFX.asset","missing","not_reviewed","not_started","vfx.ability.smoke_screen"
"ability.supply_drop","combat.supportAbility","Supply Drop","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.supply_drop_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.supply_drop","combat.supportAbility","Supply Drop","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.supply_drop_VFX.asset","missing","not_reviewed","not_started","vfx.ability.supply_drop"
"Building_Airport","combat.building","Airport","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Airport/Building_Airport_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Airport","combat.building","Airport","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Airport/Building_Airport_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Airport","combat.building","Airport","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Airport/Building_Airport_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Airport","combat.building","Airport","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Airport/Building_Airport_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Airport","combat.building","Airport","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_Airport_Icon.png","missing","not_reviewed","not_started","implementedRuntimeReference"
"Building_Ammunition_Depot","combat.building","Ammunition Depot","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Ammunition_Depot/Building_Ammunition_Depot_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Ammunition_Depot","combat.building","Ammunition Depot","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Ammunition_Depot/Building_Ammunition_Depot_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Ammunition_Depot","combat.building","Ammunition Depot","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Ammunition_Depot/Building_Ammunition_Depot_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Ammunition_Depot","combat.building","Ammunition Depot","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Ammunition_Depot/Building_Ammunition_Depot_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Ammunition_Depot","combat.building","Ammunition Depot","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_Ammunition_Depot_Icon.png","missing","not_reviewed","not_started","implementedRuntimeReference"
"Building_Barrack","combat.building","Barracks","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Barrack/Building_Barrack_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Barrack","combat.building","Barracks","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Barrack/Building_Barrack_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Barrack","combat.building","Barracks","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Barrack/Building_Barrack_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Barrack","combat.building","Barracks","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Barrack/Building_Barrack_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Barrack","combat.building","Barracks","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_Barrack_Icon.png","missing","not_reviewed","not_started","implementedRuntimeReference"
"Building_CoastalRadar","combat.building","Coastal Radar Station","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CoastalRadar/Building_CoastalRadar_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CoastalRadar","combat.building","Coastal Radar Station","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CoastalRadar/Building_CoastalRadar_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CoastalRadar","combat.building","Coastal Radar Station","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CoastalRadar/Building_CoastalRadar_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CoastalRadar","combat.building","Coastal Radar Station","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CoastalRadar/Building_CoastalRadar_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CoastalRadar","combat.building","Coastal Radar Station","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_CoastalRadar_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"Building_CommandPost","combat.building","Forward Command Post","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CommandPost/Building_CommandPost_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CommandPost","combat.building","Forward Command Post","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CommandPost/Building_CommandPost_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CommandPost","combat.building","Forward Command Post","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CommandPost/Building_CommandPost_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CommandPost","combat.building","Forward Command Post","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_CommandPost/Building_CommandPost_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_CommandPost","combat.building","Forward Command Post","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_CommandPost_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"Building_Dock","combat.building","Logistics Dock","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Dock/Building_Dock_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Dock","combat.building","Logistics Dock","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Dock/Building_Dock_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Dock","combat.building","Logistics Dock","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Dock/Building_Dock_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Dock","combat.building","Logistics Dock","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Dock/Building_Dock_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Dock","combat.building","Logistics Dock","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_Dock_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"Building_FieldWorkshop","combat.building","Field Workshop","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_FieldWorkshop/Building_FieldWorkshop_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_FieldWorkshop","combat.building","Field Workshop","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_FieldWorkshop/Building_FieldWorkshop_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_FieldWorkshop","combat.building","Field Workshop","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_FieldWorkshop/Building_FieldWorkshop_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_FieldWorkshop","combat.building","Field Workshop","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_FieldWorkshop/Building_FieldWorkshop_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_FieldWorkshop","combat.building","Field Workshop","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_FieldWorkshop_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"Building_Fuel_Bladder","combat.building","Fuel Bladder","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Fuel_Bladder/Building_Fuel_Bladder_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Fuel_Bladder","combat.building","Fuel Bladder","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Fuel_Bladder/Building_Fuel_Bladder_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Fuel_Bladder","combat.building","Fuel Bladder","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Fuel_Bladder/Building_Fuel_Bladder_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Fuel_Bladder","combat.building","Fuel Bladder","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_Fuel_Bladder/Building_Fuel_Bladder_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_Fuel_Bladder","combat.building","Fuel Bladder","UI/build icon, readable at 48px and 96px","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Build Drawer, Armory, Rewards, Store","Assets/Game/Art/UI/Generated/CombatCatalog/Icons/Building_Fuel_Bladder_Icon.png","missing","not_reviewed","not_started","implementedRuntimeReference"
"Building_GuardTower","combat.building","Guard Tower","world building sprite state: intact","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_GuardTower/Building_GuardTower_intact.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_GuardTower","combat.building","Guard Tower","world building sprite state: construction","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_GuardTower/Building_GuardTower_construction.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_GuardTower","combat.building","Guard Tower","world building sprite state: damaged","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_GuardTower/Building_GuardTower_damaged.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
"Building_GuardTower","combat.building","Guard Tower","world building sprite state: destroyed","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay, Build Drawer, Mission objectives","Assets/Game/Art/Generated/CombatCatalog/Buildings/Building_GuardTower/Building_GuardTower_destroyed.png","missing","not_reviewed","not_started","Visual rules require intact/damaged/destroyed; user also requested construction state."
